,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Founded
164,EIX,67.26000213623047,74.70999908447266,Edison International,Utilities,Electric Utilities,"Rosemead, California",1886
165,EW,115.5199966430664,232.4199981689453,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",1958
166,EA,126.1500015258789,106.93000030517578,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",1982
167,EMR,92.2300033569336,76.44000244140625,Emerson Electric,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1890
168,ENPH,222.55999755859375,25.3700008392334,Enphase Energy,Information Technology,Electronic Components,"Fremont, California",2006
169,ETR,104.8499984741211,119.27999877929688,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1913
170,EOG,90.55999755859375,82.38999938964844,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1999
171,EFX,291.8599853515625,138.9199981689453,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1899
172,EQIX,812.8599853515625,580.239990234375,Equinix,Real Estate,Specialized REITs,"Redwood City, California",1998
173,EQR,86.1500015258789,80.72000122070312,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",1969
174,ESS,344.95001220703125,299.7099914550781,Essex Property Trust,Real Estate,Residential REITs,"San Mateo, California",1971
175,EL,353.6400146484375,206.39999389648438,Estée Lauder Companies,Consumer Staples,Personal Products,"New York City, New York",1946
176,ETSY,237.4499969482422,44.470001220703125,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",2005
177,EVRG,66.66999816894531,64.2300033569336,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",1909
178,ES,87.30000305175781,84.41000366210938,Eversource Energy,Utilities,Multi-Utilities,"Hartford, Connecticut",1966
179,RE,270.8900146484375,277.45001220703125,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",1973
180,EXC,53.91999816894531,45.380001068115234,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",2000
181,EXPE,166.57000732421875,107.7699966430664,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1996
182,EXPD,129.4499969482422,77.98999786376953,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",1979
183,EXR,208.6999969482422,104.31999969482422,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1977
184,XOM,62.27000045776367,69.4800033569336,ExxonMobil,Energy,Integrated Oil & Gas,"Irving, Texas",1999
185,FFIV,232.1999969482422,139.2899932861328,F5,Information Technology,Communications Equipment,"Seattle, Washington",1996
186,FAST,63.209999084472656,36.94499969482422,Fastenal,Industrials,Building Products,"Winona, Minnesota",1967
187,FRT,131.72000122070312,128.4600067138672,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",1962
188,FDX,247.05999755859375,150.13999938964844,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1971
189,FIS,106.94999694824219,138.60000610351562,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",1968
190,FITB,44.08000183105469,30.549999237060547,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",1858
191,FE,39.459999084472656,48.4900016784668,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997
192,FRC,213.5500030517578,117.37000274658203,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1985
193,FISV,103.12999725341797,115.47000122070312,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",1984
194,FLT,220.14999389648438,286.260009765625,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2000
195,FMC,107.0999984741211,99.22000122070312,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",1883
196,F,19.959999084472656,9.25,Ford,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1903
197,FTNT,317.239990234375,106.94999694824219,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2000
198,FTV,75.0999984741211,76.27999877929688,Fortive,Industrials,Industrial Machinery,"Everett, Washington",2016
199,FBHS,105.41999816894531,65.37999725341797,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",2011 (1969)
200,FOXA,36.47999954223633,37.08000183105469,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",2019
201,FOX,33.95000076293945,36.439998626708984,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",2019
202,BEN,32.97999954223633,25.81999969482422,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",1947
203,FCX,38.77000045776367,13.010000228881836,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",1912
204,GPS,17.3700008392334,17.81999969482422,Gap,Consumer Discretionary,Apparel Retail,"San Francisco, California",1969
205,GRMN,136.44000244140625,97.94999694824219,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1989
