,Symbol,Close_21,Close_19,Security,GICS Sector,GICS Sub-Industry
226,HES,79.97000122070312,66.1500015258789,Hess Corporation,Energy,Integrated Oil & Gas
227,HPE,15.470000267028809,15.779999732971191,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals"
228,HLT,143.14999389648438,111.37000274658203,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
229,HOLX,76.1500015258789,51.86000061035156,Hologic,Health Care,Health Care Equipment
230,HD,416.17999267578125,217.30999755859375,Home Depot,Consumer Discretionary,Home Improvement Retail
231,HON,207.14999389648438,176.4199981689453,Honeywell,Industrials,Industrial Conglomerates
232,HRL,42.43000030517578,45.0,Hormel,Consumer Staples,Packaged Foods & Meats
233,HST,16.579999923706055,18.6299991607666,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs
234,HWM,30.829999923706055,30.8700008392334,Howmet Aerospace,Industrials,Aerospace & Defense
235,HPQ,37.290000915527344,20.489999771118164,HP,Information Technology,"Technology Hardware, Storage & Peripherals"
236,HUM,433.010009765625,367.7699890136719,Humana,Health Care,Managed Health Care
237,HBAN,15.489999771118164,15.039999961853027,Huntington Bancshares,Financials,Regional Banks
238,HII,184.69000244140625,251.80999755859375,Huntington Ingalls Industries,Industrials,Aerospace & Defense
239,IEX,235.13999938964844,172.3300018310547,IDEX Corporation,Industrials,Industrial Machinery
240,IDXX,611.4299926757812,261.6000061035156,Idexx Laboratories,Health Care,Health Care Equipment
241,INFO,131.9199981689453,74.79000091552734,IHS Markit,Industrials,Research & Consulting Services
242,ITW,239.97999572753906,179.91000366210938,Illinois Tool Works,Industrials,Industrial Machinery
243,ILMN,369.42999267578125,328.1400146484375,Illumina,Health Care,Life Sciences Tools & Services
244,INCY,66.7300033569336,88.05000305175781,Incyte,Health Care,Biotechnology
245,IR,59.72999954223633,36.4900016784668,Ingersoll Rand,Industrials,Industrial Machinery
246,INTC,52.56999969482422,59.619998931884766,Intel,Information Technology,Semiconductors
247,ICE,134.00999450683594,92.44000244140625,Intercontinental Exchange,Financials,Financial Exchanges & Data
248,IBM,121.58000183105469,126.96940612792969,IBM,Information Technology,IT Consulting & Other Services
249,IP,46.650001525878906,43.46590805053711,International Paper,Materials,Paper Packaging
250,IPG,35.43000030517578,23.079999923706055,Interpublic Group,Communication Services,Advertising
251,IFF,145.11000061035156,126.95999908447266,International Flavors & Fragrances,Materials,Specialty Chemicals
252,INTU,673.2999877929688,262.8399963378906,Intuit,Information Technology,Application Software
253,ISRG,340.489990234375,197.10667419433594,Intuitive Surgical,Health Care,Health Care Equipment
254,IVZ,23.389999389648438,17.93000030517578,Invesco,Financials,Asset Management & Custody Banks
255,IPGP,169.1199951171875,143.4199981689453,IPG Photonics,Information Technology,Electronic Manufacturing Services
256,IQV,270.29998779296875,153.4499969482422,IQVIA,Health Care,Life Sciences Tools & Services
257,IRM,48.060001373291016,31.690000534057617,Iron Mountain,Real Estate,Specialized REITs
258,JKHY,157.3699951171875,145.38999938964844,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services
259,J,143.50999450683594,89.62000274658203,Jacobs Engineering Group,Industrials,Construction & Engineering
260,JBHT,196.1699981689453,116.58000183105469,J. B. Hunt,Industrials,Trucking
261,SJM,130.22000122070312,103.1500015258789,JM Smucker,Consumer Staples,Packaged Foods & Meats
262,JNJ,163.36000061035156,145.3000030517578,Johnson & Johnson,Health Care,Pharmaceuticals
263,JCI,79.1500015258789,40.650001525878906,Johnson Controls,Industrials,Building Products
264,JPM,162.57000732421875,138.6300048828125,JPMorgan Chase,Financials,Diversified Banks
265,JNPR,32.65999984741211,24.5,Juniper Networks,Information Technology,Communications Equipment
266,KSU,299.9800109863281,153.08999633789062,Kansas City Southern,Industrials,Railroads
267,K,63.08000183105469,68.77999877929688,Kellogg's,Consumer Staples,Packaged Foods & Meats
268,KEY,23.209999084472656,20.219999313354492,KeyCorp,Financials,Regional Banks
269,KEYS,202.42999267578125,102.18000030517578,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
270,KMB,136.8800048828125,136.88999938964844,Kimberly-Clark,Consumer Staples,Household Products
271,KIM,23.610000610351562,20.770000457763672,Kimco Realty,Real Estate,Retail REITs
272,KMI,16.229999542236328,21.030000686645508,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
273,KLAC,419.1499938964844,178.3699951171875,KLA Corporation,Information Technology,Semiconductor Equipment
274,KHC,34.5099983215332,31.709999084472656,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
275,KR,45.06999969482422,29.059999465942383,Kroger,Consumer Staples,Food Retail
276,LHX,214.67999267578125,200.0800018310547,L3Harris Technologies,Industrials,Aerospace & Defense
277,LH,296.1099853515625,168.35000610351562,LabCorp,Health Care,Health Care Services
278,LRCX,706.1500244140625,292.5400085449219,Lam Research,Information Technology,Semiconductor Equipment
